"행정구역","2011년_총인구수","2011년_세대수","2011년_남자 인구수","2011년_여자 인구수","2011년_남여 비율","2012년_총인구수","2012년_세대수","2012년_남자 인구수","2012년_여자 인구수","2012년_남여 비율","2013년_총인구수","2013년_세대수","2013년_남자 인구수","2013년_여자 인구수","2013년_남여 비율","2014년_총인구수","2014년_세대수","2014년_남자 인구수","2014년_여자 인구수","2014년_남여 비율","2015년_총인구수","2015년_세대수","2015년_남자 인구수","2015년_여자 인구수","2015년_남여 비율","2016년_총인구수","2016년_세대수","2016년_남자 인구수","2016년_여자 인구수","2016년_남여 비율","2017년_총인구수","2017년_세대수","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율"
"제주특별자치도  (5000000000)","576,156","227,873","288,152","288,004","          1.00","583,713","232,141","292,213","291,500","          1.00","593,806","238,465","297,504","296,302","          1.00","607,346","246,516","304,656","302,690","          1.01","624,395","256,928","313,428","310,967","          1.01","641,597","266,972","322,545","319,052","          1.01","657,083","278,203","330,823","326,260","          1.01","667,191","287,104","335,719","331,472","          1.01","670,989","293,155","337,345","333,644","          1.01","674,635","302,033","338,609","336,026","          1.01"
"제주특별자치도 제주시 (5011000000)","422,790","165,494","210,873","211,917","          1.00","429,656","168,658","214,588","215,068","          1.00","438,165","173,370","219,029","219,136","          1.00","448,834","179,090","224,581","224,253","          1.00","459,876","185,874","230,223","229,653","          1.00","470,665","192,353","235,977","234,688","          1.01","478,700","198,454","240,465","238,235","          1.01","485,946","204,621","243,974","241,972","          1.01","489,405","209,439","245,533","243,872","          1.01","492,466","216,202","246,588","245,878","          1.00"
"제주특별자치도 서귀포시 (5013000000)","153,366","62,379","77,279","76,087","          1.02","154,057","63,483","77,625","76,432","          1.02","155,641","65,095","78,475","77,166","          1.02","158,512","67,426","80,075","78,437","          1.02","164,519","71,054","83,205","81,314","          1.02","170,932","74,619","86,568","84,364","          1.03","178,383","79,749","90,358","88,025","          1.03","181,245","82,483","91,745","89,500","          1.03","181,584","83,716","91,812","89,772","          1.02","182,169","85,831","92,021","90,148","          1.02"
